economy_code,economy,year,value,source
10_MAS,Malaysia,2013,29.4198401146816,WDI
10_MAS,Malaysia,2014,29.3665669513565,WDI
10_MAS,Malaysia,2015,28.3991476426936,WDI
10_MAS,Malaysia,2016,28.3850019206649,WDI
10_MAS,Malaysia,2017,28.3359876066459,WDI
10_MAS,Malaysia,2018,26.1283247399226,WDI
10_MAS,Malaysia,2019,24.546150625052,WDI
10_MAS,Malaysia,2020,23.8210614819294,WDI
10_MAS,Malaysia,2021,26.0099609240741,WDI
10_MAS,Malaysia,2022,26.7807789507514,WDI
10_MAS,Malaysia,2023,23.8583516969162,WDI
10_MAS,Malaysia,2024,23.3780820262118,WDI
10_MAS,Malaysia,2025,23.3780820262118,WDI seeded and projected to 2025
11_MEX,Mexico,1990,19.8222343593874,WDI
11_MEX,Mexico,1991,18.2158319682238,WDI
11_MEX,Mexico,1992,16.4462619037251,WDI
11_MEX,Mexico,1993,18.8495783931937,WDI
11_MEX,Mexico,1994,19.1881563541485,WDI
11_MEX,Mexico,1995,20.6941261524377,WDI
11_MEX,Mexico,1996,21.3048889067367,WDI
11_MEX,Mexico,1997,21.8274702525933,WDI
11_MEX,Mexico,1998,22.5673874506878,WDI
11_MEX,Mexico,1999,22.5053913556409,WDI
11_MEX,Mexico,2000,20.8600148446395,WDI
11_MEX,Mexico,2001,20.8045452155785,WDI
11_MEX,Mexico,2002,20.5603787774467,WDI
11_MEX,Mexico,2003,19.782320864365,WDI
11_MEX,Mexico,2004,21.4684386553467,WDI
11_MEX,Mexico,2005,19.66514053036,WDI
11_MEX,Mexico,2006,21.8950677333074,WDI
11_MEX,Mexico,2007,21.5882388048939,WDI
11_MEX,Mexico,2008,20.405125308709,WDI
11_MEX,Mexico,2009,20.3574258395666,WDI
11_MEX,Mexico,2010,19.1230801275762,WDI
11_MEX,Mexico,2011,19.2529097567633,WDI
11_MEX,Mexico,2012,19.1609504944166,WDI
11_MEX,Mexico,2013,16.36445681263,WDI
11_MEX,Mexico,2014,16.8470848769093,WDI
11_MEX,Mexico,2015,18.515549158143,WDI
11_MEX,Mexico,2016,19.384966743581,WDI
