economy_code,economy,year,population_1jan,Real GDP PPP 2021 USD,output_to_kstock,delta,Gross national savings,9th Outlook
16_RUS,Russia,2015,145082.693,5149170.806564599,0.1328805672694155,0.0352284573018551,26.366709537342,5204615.7868318055
16_RUS,Russia,2016,145532.538,5159143.263887281,0.1324682885281272,0.0350418873131275,25.0134122865718,5214696.123766342
16_RUS,Russia,2017,146024.816,5253385.6060589,0.1339729490217897,0.034981444478035,25.6686851355845,5309906.966893762
16_RUS,Russia,2018,146348.782,5400813.51077824,0.1368024805295775,0.03506263718009,28.9492684952112,5458968.502121239
16_RUS,Russia,2019,146511.509,5519527.48090736,0.1388590974419489,0.0352733992040157,26.5372798751328,5578961.862773181
16_RUS,Russia,2020,146554.625,5373058.29169962,0.1345507053854182,0.0356334634125233,25.7684981515278,5430353.135250567
16_RUS,Russia,2021,146187.972,5688268.31433954,0.1416596893126115,0.0359714180231094,29.8125329121196,5688268.31433954
16_RUS,Russia,2022,145484.378,5606620.5813337695,0.1386979620197175,0.0362408421933651,33.3939222918452,5494377.857433347
16_RUS,Russia,2023,145675.42,5834620.196473691,0.1418289094959926,0.0367455184459686,30.2888471082987,5369105.165114883
16_RUS,Russia,2024,145205.581,6121781.51204027,,,30.841114469031,5449638.128765216
16_RUS,Russia,2025,144435.265,6183071.35415995,,,28.6401351543644,5504162.456233423
16_RUS,Russia,2026,143559.521,,,,,5548193.2283178205
16_RUS,Russia,2027,143229.395,,,,,5587003.556213614
16_RUS,Russia,2028,142858.854,,,,,5629308.906810126
16_RUS,Russia,2029,142480.73,,,,,5662463.0760360425
16_RUS,Russia,2030,142089.382,,,,,5689559.879594802
16_RUS,Russia,2031,141689.437,,,,,5727773.400378722
16_RUS,Russia,2032,141261.464,,,,,5752262.397312139
16_RUS,Russia,2033,140859.287,,,,,5788634.079537393
16_RUS,Russia,2034,140469.898,,,,,5836118.745005126
16_RUS,Russia,2035,140091.664,,,,,5881735.856909212
16_RUS,Russia,2036,139727.619,,,,,5927168.760045368
16_RUS,Russia,2037,139375.42,,,,,5973181.088987017
16_RUS,Russia,2038,139034.326,,,,,6020265.690058337
16_RUS,Russia,2039,138719.274,,,,,6068204.300862276
16_RUS,Russia,2040,138415.363,,,,,6117890.652095637
16_RUS,Russia,2041,138148.299,,,,,6170315.765332133
16_RUS,Russia,2042,137895.225,,,,,6224522.612757664
16_RUS,Russia,2043,137670.254,,,,,6282204.760946372
16_RUS,Russia,2044,137445.556,,,,,6340585.164154424
16_RUS,Russia,2045,137244.454,,,,,6399420.832825684
16_RUS,Russia,2046,137059.959,,,,,6458634.136974502
16_RUS,Russia,2047,136887.457,,,,,6518244.877248711
16_RUS,Russia,2048,136691.348,,,,,6578239.993618291
16_RUS,Russia,2049,136480.604,,,,,6638272.157294135
16_RUS,Russia,2050,136256.184,,,,,6698264.6732000215
16_RUS,Russia,2051,136009.366,,,,,6758374.881042801
16_RUS,Russia,2052,135743.012,,,,,6818311.760801666
16_RUS,Russia,2053,135473.935,,,,,6878174.101105423
16_RUS,Russia,2054,135151.042,,,,,6938048.412349675
16_RUS,Russia,2055,134823.641,,,,,6997918.992467678
16_RUS,Russia,2056,134473.677,,,,,7057739.534654347
16_RUS,Russia,2057,134129.15,,,,,7117647.432296307
16_RUS,Russia,2058,133787.487,,,,,7177588.3643645495
16_RUS,Russia,2059,133420.512,,,,,7237775.049113944
16_RUS,Russia,2060,133058.697,,,,,7298171.625465714
16_RUS,Russia,2061,132728.241,,,,,7358844.85559764
16_RUS,Russia,2062,132375.686,,,,,7419927.412746866
16_RUS,Russia,2063,132042.291,,,,,7481384.902929655
16_RUS,Russia,2064,131693.254,,,,,7543486.125479367
16_RUS,Russia,2065,131354.269,,,,,7606099.223776283
16_RUS,Russia,2066,131020.402,,,,,7669224.908437522
16_RUS,Russia,2067,130708.309,,,,,7733028.697913304
16_RUS,Russia,2068,130421.764,,,,,7797552.813605366
16_RUS,Russia,2069,130140.496,,,,,7863193.419270166
16_RUS,Russia,2070,129848.908,,,,,7929463.389902344
16_RUS,Russia,2071,129572.75,,,,,7996589.812253394
16_RUS,Russia,2072,129291.142,,,,,8064702.321244582
16_RUS,Russia,2073,129062.736,,,,,8133853.668579824
16_RUS,Russia,2074,128845.523,,,,,8204017.349968797
16_RUS,Russia,2075,128646.391,,,,,8275120.89468816
16_RUS,Russia,2076,128461.727,,,,,8347387.74788476
16_RUS,Russia,2077,128308.149,,,,,8420728.549826687
16_RUS,Russia,2078,128149.963,,,,,8495152.940285519
16_RUS,Russia,2079,128008.43,,,,,8570823.224158015
16_RUS,Russia,2080,127886.854,,,,,8647654.125205908
16_RUS,Russia,2081,127788.984,,,,,8725816.564441267
16_RUS,Russia,2082,127704.616,,,,,8805052.729514416
16_RUS,Russia,2083,127620.32,,,,,8885446.006210478
16_RUS,Russia,2084,127544.819,,,,,8967132.120329306
16_RUS,Russia,2085,127469.45,,,,,9050124.263073117
16_RUS,Russia,2086,127392.688,,,,,9134385.4518988
16_RUS,Russia,2087,127323.978,,,,,9219853.594873002
16_RUS,Russia,2088,127275.427,,,,,9306643.749675617
16_RUS,Russia,2089,127224.746,,,,,9394572.667840632
16_RUS,Russia,2090,127172.007,,,,,9483686.814695211
16_RUS,Russia,2091,127116.212,,,,,9573771.88712605
16_RUS,Russia,2092,127067.167,,,,,9665073.2857478
16_RUS,Russia,2093,126991.668,,,,,9757475.672504928
16_RUS,Russia,2094,126935.766,,,,,9850703.57071003
